type	taxid
artificial_sequences	90120
artificial_sequences	90121
artificial_sequences	90122
artificial_sequences	90123
artificial_sequences	90124
artificial_sequences	90125
artificial_sequences	90126
artificial_sequences	90127
artificial_sequences	90128
artificial_sequences	90129
artificial_sequences	90130
artificial_sequences	90131
artificial_sequences	90132
artificial_sequences	90133
artificial_sequences	90134
artificial_sequences	90135
artificial_sequences	90136
artificial_sequences	90137
artificial_sequences	90138
artificial_sequences	90140
artificial_sequences	90143
artificial_sequences	90144
artificial_sequences	90146
artificial_sequences	90147
artificial_sequences	90148
artificial_sequences	90149
artificial_sequences	90310
artificial_sequences	90749
artificial_sequences	91182
artificial_sequences	91183
artificial_sequences	91184
artificial_sequences	91376
artificial_sequences	91381
artificial_sequences	91468
artificial_sequences	91469
artificial_sequences	91470
artificial_sequences	91471
artificial_sequences	91498
artificial_sequences	91506
artificial_sequences	91529
artificial_sequences	91530
artificial_sequences	92689
artificial_sequences	92756
artificial_sequences	92791
artificial_sequences	92792
artificial_sequences	92833
artificial_sequences	92852
artificial_sequences	92869
artificial_sequences	92948
artificial_sequences	93463
artificial_sequences	93464
artificial_sequences	93999
artificial_sequences	94002
artificial_sequences	94003
artificial_sequences	94004
artificial_sequences	95115
artificial_sequences	95118
artificial_sequences	95174
artificial_sequences	95362
artificial_sequences	95363
artificial_sequences	95364
artificial_sequences	95365
artificial_sequences	96766
artificial_sequences	97706
artificial_sequences	98589
artificial_sequences	98786
artificial_sequences	98787
artificial_sequences	98788
artificial_sequences	98858
artificial_sequences	98859
artificial_sequences	98860
artificial_sequences	98931
artificial_sequences	98933
artificial_sequences	98934
artificial_sequences	98936
artificial_sequences	98937
artificial_sequences	98938
artificial_sequences	98939
artificial_sequences	99199
artificial_sequences	99389
artificial_sequences	99595
artificial_sequences	99596
artificial_sequences	100607
artificial_sequences	100610
artificial_sequences	100611
artificial_sequences	100612
artificial_sequences	100613
artificial_sequences	100675
artificial_sequences	100676
artificial_sequences	100905
artificial_sequences	101365
artificial_sequences	101366
artificial_sequences	101367
artificial_sequences	101368
artificial_sequences	101369
artificial_sequences	101370
artificial_sequences	101371
artificial_sequences	101372
artificial_sequences	101373
artificial_sequences	101375
artificial_sequences	101390
artificial_sequences	101481
artificial_sequences	101630
artificial_sequences	101631
artificial_sequences	101632
artificial_sequences	101633
artificial_sequences	101634
artificial_sequences	101635
artificial_sequences	101636
artificial_sequences	101637
artificial_sequences	101638
artificial_sequences	101639
artificial_sequences	101640
artificial_sequences	101641
artificial_sequences	101642
artificial_sequences	101771
artificial_sequences	101832
artificial_sequences	101833
artificial_sequences	101834
artificial_sequences	101857
artificial_sequences	101858
artificial_sequences	101936
artificial_sequences	102131
artificial_sequences	102132
artificial_sequences	102133
artificial_sequences	102152
artificial_sequences	102153
artificial_sequences	102224
artificial_sequences	102651
artificial_sequences	102652
artificial_sequences	102653
artificial_sequences	102682
artificial_sequences	102687
artificial_sequences	102887
artificial_sequences	102888
artificial_sequences	102889
artificial_sequences	102901
artificial_sequences	102902
artificial_sequences	103608
artificial_sequences	103609
artificial_sequences	103691
artificial_sequences	103949
artificial_sequences	103950
artificial_sequences	104010
artificial_sequences	104091
artificial_sequences	105849
artificial_sequences	106074
artificial_sequences	106075
artificial_sequences	106076
artificial_sequences	106077
artificial_sequences	106336
artificial_sequences	106406
artificial_sequences	106407
artificial_sequences	106408
artificial_sequences	106409
artificial_sequences	106602
artificial_sequences	106603
artificial_sequences	106604
artificial_sequences	106605
artificial_sequences	106606
artificial_sequences	106611
artificial_sequences	106612
artificial_sequences	106613
artificial_sequences	106614
artificial_sequences	106930
artificial_sequences	106970
artificial_sequences	106971
artificial_sequences	107212
artificial_sequences	108140
artificial_sequences	108141
artificial_sequences	108598
artificial_sequences	108600
artificial_sequences	108601
artificial_sequences	108602
